iter	Passed	Remaining
0	19	3857
1	30	2981
2	43	2878
3	65	3207
4	88	3461
5	105	3414
6	127	3519
7	144	3460
8	157	3346
9	177	3377
10	200	3452
11	220	3454
12	233	3361
13	252	3360
14	275	3398
15	291	3354
16	313	3379
17	327	3306
18	340	3239
19	354	3187
20	372	3175
21	395	3196
22	414	3191
23	433	3179
24	461	3229
25	488	3271
26	511	3275
27	532	3272
28	546	3224
29	566	3208
30	591	3223
31	612	3214
32	630	3190
33	650	3175
34	674	3178
35	696	3171
36	720	3173
37	744	3173
38	764	3154
39	778	3114
40	792	3074
41	816	3069
42	837	3058
43	861	3053
44	882	3040
45	900	3013
46	923	3004
47	937	2969
48	954	2941
49	975	2927
50	997	2913
51	1020	2904
52	1044	2896
53	1065	2880
54	1082	2852
55	1098	2825
56	1112	2790
57	1134	2777
58	1158	2768
59	1180	2753
60	1207	2752
61	1228	2733
62	1248	2715
63	1272	2703
64	1295	2691
65	1316	2673
66	1330	2640
67	1353	2627
68	1373	2608
69	1386	2575
70	1411	2563
71	1428	2538
72	1447	2519
73	1466	2497
74	1490	2484
75	1508	2460
76	1530	2444
77	1555	2432
78	1578	2417
79	1599	2398
80	1611	2367
81	1624	2337
82	1643	2317
83	1668	2304
84	1685	2279
85	1701	2256
86	1722	2237
87	1737	2211
88	1761	2196
89	1781	2177
90	1806	2163
91	1830	2148
92	1851	2130
93	1872	2111
94	1897	2097
95	1921	2081
96	1938	2058
97	1962	2042
98	1979	2019
99	2003	2003
100	2028	1988
101	2052	1972
102	2072	1951
103	2097	1936
104	2120	1918
105	2146	1903
106	2166	1882
107	2189	1865
108	2214	1848
109	2233	1827
110	2258	1810
111	2282	1793
112	2312	1780
113	2341	1766
114	2370	1751
115	2405	1741
116	2431	1724
117	2459	1708
118	2487	1692
119	2521	1681
120	2546	1662
121	2573	1645
122	2597	1626
123	2623	1607
124	2647	1588
125	2672	1569
126	2697	1550
127	2724	1532
128	2751	1514
129	2776	1494
130	2801	1475
131	2827	1456
132	2857	1439
133	2882	1419
134	2909	1401
135	2933	1380
136	2962	1362
137	2990	1343
138	3018	1324
139	3045	1305
140	3069	1284
141	3094	1263
142	3120	1243
143	3145	1223
144	3171	1202
145	3194	1181
146	3220	1161
147	3244	1139
148	3269	1119
149	3292	1097
150	3318	1076
151	3341	1055
152	3365	1033
153	3389	1012
154	3412	990
155	3436	969
156	3460	947
157	3487	926
158	3511	905
159	3537	884
160	3563	863
161	3589	842
162	3613	820
163	3638	798
164	3661	776
165	3685	754
166	3709	733
167	3734	711
168	3758	689
169	3780	667
170	3805	645
171	3828	623
172	3853	601
173	3875	579
174	3900	557
175	3924	535
176	3947	512
177	3971	490
178	3993	468
179	4018	446
180	4043	424
181	4070	402
182	4093	380
183	4119	358
184	4143	335
185	4168	313
186	4193	291
187	4215	269
188	4240	246
189	4264	224
190	4288	202
191	4311	179
192	4333	157
193	4359	134
194	4383	112
195	4407	89
196	4431	67
197	4455	45
198	4477	22
199	4500	0
