artist,lfm_tags,lfm_listeners,lfm_playcount,lfm_found,tags
!nvite,,9427.0,23979.0,True,
"""Cats"" 1983 Broadway Cast",,2108.0,5703.0,True,
"""Little"" Jimmie Dickens",,11.0,55.0,True,
"""Pepo"" San Martín",,0.0,0.0,False,
"""Puppy Dog Pals"" Cast",,19496.0,191332.0,True,
"""Sax"" Maldita Vecindad",,0.0,0.0,False,
"""The Phantom Of The Opera"" 1990 German Cast",,90.0,330.0,True,
"""Weird Al"" Yankovic","comedy, parody, rock, humor, funny",961354.0,25908076.0,True,
#Kids,,878.0,5045.0,True,
$NOT,"rap, Hip-Hop, cloud rap, trap, hip hop",848857.0,43198091.0,True,
$affie,,13047.0,34837.0,True,
$pyda,"reggae, Drum and bass",10248.0,57238.0,True,
&ME,"minimal, House, electronic, techno, tech house",175434.0,1662484.0,True,
'Bat Out Of Hell' Original Cast,,41.0,96.0,True,
'Be More Chill' Ensemble,"american, musical, theatre, Broadway",28102.0,201006.0,True,
'Dogfight' Original Cast Ensemble,,2209.0,7411.0,True,
'Falsettos' 2016 Broadway Company,,28356.0,672594.0,True,
'Legally Blonde' Ensemble,"american, musical",48674.0,462475.0,True,
'Little Women' Original Broadway Cast,,664.0,3109.0,True,
'Songs for a New World' 2018 Encores! Off-Center Company,,3459.0,25785.0,True,
'The Drowsy Chaperone' Original Broadway Cast,,5071.0,49627.0,True,
'Til Tuesday,"new wave, 80s, female vocalists, pop, Aimee Mann",244155.0,1974675.0,True,
( Me Llamo ) Sebastián,"chile, indie, rock, pop, electropop",14972.0,349046.0,True,
((( O ))),"experimental, ambient, drone, rnb, alternative rnb",107926.0,1086782.0,True,
(DOLCH),"doom metal, black metal, atmospheric black metal, drone, ambient",39087.0,460031.0,True,
(G)I-DLE,"k-pop, Korean, Kpop, pop, girl group",954070.0,104136985.0,True,
(Hed) P.E.,,142248.0,4198159.0,True,
-M-,"french, rock, chanson francaise, pop, rock francais",150194.0,2417664.0,True,
0-600,,1979.0,13935.0,True,
015B,"k-pop, Korean, jazz, pop, funk",103750.0,1304017.0,True,
04 Limited Sazabys,"japanese, pop punk, J-rock, melodic hardcore, rock",30505.0,1140376.0,True,
070 Shake,"rnb, hip hop, Hip-Hop, rap, synthpop",741473.0,21010104.0,True,
1 Trait Danger,"comedy, electronic, bitcoins, rap, seattle",35319.0,1437878.0,True,
10 Years,"alternative rock, alternative metal, rock, hard rock, alternative",806814.0,18425506.0,True,
10-FEET,"J-rock, japanese, punk, J-Punk, indie",75063.0,2553138.0,True,
100 Blaze,,11784.0,155571.0,True,
100 gecs,"hyperpop, bubblegum bass, electronic, experimental, noise pop",1119594.0,80468773.0,True,
1000volts,"Hip-Hop, electronic, dubstep, Producers, spotify",7338.0,26806.0,True,
1019,"Berlin, hip hop",21250.0,948746.0,True,
102 Boyz,"trap, polska, polish, german, Deutschrap",46843.0,1921252.0,True,
10cc,"classic rock, rock, 70s, british, pop",1574256.0,18655202.0,True,
10cm,"Korean, indie, acoustic, korean indie, indie rock",276721.0,6131655.0,True,
110,"turkish rock, rock, alternative, electronic, turkish",53326.0,911036.0,True,
112,"rnb, soul, Hip-Hop, 112, r and b",798610.0,6452322.0,True,
11:11 Music Group,,112486.0,795297.0,True,
12 Stones,"alternative rock, rock, hard rock, christian rock, alternative",850888.0,13830829.0,True,
1200 Micrograms,"psytrance, psychedelic, goa, psychedelic trance, trance",195608.0,4060186.0,True,
1280 Almas,"ska, Colombia, Rock colombiano, rock, bogota",19963.0,396909.0,True,
12AM,"rnb, rock, pop, electronic, blues rock",51863.0,522851.0,True,
12th Planet,"dubstep, electronic, Hip-Hop, experimental, electronica",161132.0,1082744.0,True,
13,"halftime, Sludge, doom metal, sludge metal, tech house",167137.0,802655.0,True,
13 Block,"trap, french, rap, Hip-Hop, Gangsta Rap",40202.0,2633295.0,True,
1349,"black metal, Norwegian Black Metal, norwegian, True Norwegian Black Metal, metal",181843.0,6210813.0,True,
13th Floor Elevators,"Psychedelic Rock, psychedelic, Garage Rock, 60s, rock",434790.0,5574951.0,True,
14 Bis,"mpb, brasil, Progressive rock, rock, 80s",83907.0,1014871.0,True,
16 Bit,,65308.0,648652.0,True,
163,turkish rock,5886.0,79183.0,True,
16BL,"House, electronic, dutch, deep house, netherlands",51455.0,605347.0,True,
16bars,,291.0,1696.0,True,
175R,"japanese, J-rock, punk, ska, J-Punk",30206.0,647879.0,True,
1782,"doom metal, stoner metal, Italy, Sludge, stoner",63740.0,501466.0,True,
1788-L,"midtempo bass, midtempo, experimental, dubstep, electronic",44484.0,422228.0,True,
19,"j-pop, japanese, folk, pop, JPop",68660.0,770750.0,True,
1979,"industrial, noise, Rhythmic Noise, experimental, powernoise",6704.0,32428.0,True,
1986zig,german,35780.0,1101124.0,True,
1988,"illbient, instrumental hip-hop, instrumental hip hop, dub, hardcore",16814.0,372446.0,True,
1991,"ambient, electronic, experimental, drone, idm",183469.0,2741170.0,True,
1995,"french rap, rap, hip hop, rap francais, Rap FR",51223.0,973194.0,True,
1Biggs Don,,8480.0,67084.0,True,
1Kilo,"rap, brasil, hip hop, brazil, acustico",263235.0,5762679.0,True,
1PLIKÉ140,"drill fr, french, france, rap, 92140",37497.0,2244330.0,True,
1mpakt,,2.0,28.0,True,
1nonly,"aesthetic rap, USA, China, american, in english",687212.0,30052070.0,True,
2 Best Enemies,"hardstyle, hardcore, italian hardstyle, jumpstyle, italian",20827.0,141190.0,True,
2 Blyga Läppar,"rock, swedish, liszaj radio, humour",10347.0,206579.0,True,
2 Brothers On The 4th Floor,"eurodance, 90s, dance, electronic, happy hardcore",240992.0,2115220.0,True,
2 Chainz,"Hip-Hop, rap, trap, Dirty South, southern rap",1419102.0,26284858.0,True,
2 Engel & Charlie,elektro-dance-pop,18010.0,285415.0,True,
2 minutos,"punk rock, punk, argentina, Rock Argentino, spanish",71669.0,2519146.0,True,
20 Fingers,"dance, electronic, eurodance, 90s, pop",114672.0,547992.0,True,
2002,"new age, instrumental, ambient, peaceful, relaxation",196281.0,2896412.0,True,
2016 Broadway Cast,,1288.0,6094.0,True,
21 Savage,"trap, Hip-Hop, rap, hip hop, atlanta",2247676.0,212847379.0,True,
22 Void Beats,,4048.0,14684.0,True,
